new_date,flat_type,district,range_numeric,floor_area_sqm,lease_commence_date,resale_price
2025.0833333333333,2 ROOM,North-East,11.0,44.0,1978,318000.0
2025.0833333333333,3 ROOM,North-East,14.0,70.0,2012,650000.0
2025.0833333333333,3 ROOM,North-East,11.0,68.0,1981,410000.0
2025.0833333333333,3 ROOM,North-East,5.0,73.0,1977,448000.0
2025.0833333333333,3 ROOM,North-East,14.0,68.0,1980,415000.0
2025.0833333333333,3 ROOM,North-East,8.0,82.0,1979,520000.0
2025.0833333333333,3 ROOM,North-East,11.0,68.0,1980,412888.0
2025.0833333333333,3 ROOM,North-East,8.0,75.0,1980,440000.0
2025.0833333333333,3 ROOM,North-East,8.0,82.0,1979,478000.0
2025.0833333333333,3 ROOM,North-East,11.0,74.0,1979,438888.0
2025.0833333333333,3 ROOM,North-East,11.0,82.0,1979,490888.0
2025.0833333333333,3 ROOM,North-East,8.0,67.0,1984,425000.0
2025.0833333333333,3 ROOM,North-East,8.0,82.0,1978,480000.0
2025.0833333333333,3 ROOM,North-East,2.0,67.0,1978,420000.0
2025.0833333333333,3 ROOM,North-East,2.0,67.0,1978,472000.0
2025.0833333333333,3 ROOM,North-East,5.0,82.0,1979,520000.0
2025.0833333333333,3 ROOM,North-East,5.0,68.0,1980,418000.0
2025.0833333333333,3 ROOM,North-East,5.0,89.0,1978,475000.0
2025.0833333333333,3 ROOM,North-East,8.0,67.0,1978,450000.0
2025.0833333333333,3 ROOM,North-East,5.0,68.0,1981,388000.0
2025.0833333333333,3 ROOM,North-East,8.0,67.0,1980,405000.0
2025.0833333333333,3 ROOM,North-East,8.0,82.0,1980,480000.0
2025.0833333333333,3 ROOM,North-East,8.0,81.0,1980,453000.0
2025.0833333333333,3 ROOM,North-East,2.0,68.0,1981,380000.0
2025.0833333333333,3 ROOM,North-East,11.0,68.0,1980,452000.0
2025.0833333333333,4 ROOM,North-East,14.0,91.0,1982,582000.0
2025.0833333333333,4 ROOM,North-East,2.0,92.0,1981,533000.0
2025.0833333333333,4 ROOM,North-East,8.0,92.0,1978,555000.0
2025.0833333333333,4 ROOM,North-East,8.0,91.0,1980,518888.0
2025.0833333333333,4 ROOM,North-East,8.0,93.0,2019,985000.0
2025.0833333333333,4 ROOM,North-East,11.0,91.0,2002,840000.0
2025.0833333333333,5 ROOM,North-East,5.0,135.0,1982,910000.0
2025.0833333333333,EXECUTIVE,North-East,8.0,149.0,1996,1100000.0
2025.0833333333333,3 ROOM,East,8.0,67.0,1979,419000.0
2025.0833333333333,3 ROOM,East,11.0,67.0,1979,420000.0
2025.0833333333333,3 ROOM,East,11.0,82.0,1977,432000.0
2025.0833333333333,3 ROOM,East,8.0,67.0,1978,425000.0
2025.0833333333333,3 ROOM,East,5.0,68.0,1980,428888.0
2025.0833333333333,3 ROOM,East,5.0,70.0,1978,440000.0
2025.0833333333333,3 ROOM,East,8.0,64.0,1988,490000.0
2025.0833333333333,3 ROOM,East,11.0,65.0,1976,440000.0
2025.0833333333333,3 ROOM,East,11.0,73.0,1974,410000.0
2025.0833333333333,3 ROOM,East,11.0,65.0,1977,418000.0
2025.0833333333333,4 ROOM,East,2.0,92.0,2005,688000.0
2025.0833333333333,4 ROOM,East,11.0,91.0,1978,490000.0
2025.0833333333333,4 ROOM,East,5.0,95.0,1980,512000.0
2025.0833333333333,4 ROOM,East,8.0,95.0,1980,520000.0
2025.0833333333333,4 ROOM,East,2.0,97.0,1985,590000.0
2025.0833333333333,4 ROOM,East,5.0,93.0,1985,565000.0
2025.0833333333333,4 ROOM,East,11.0,91.0,1981,590000.0
2025.0833333333333,4 ROOM,East,5.0,84.0,1977,475000.0
2025.0833333333333,5 ROOM,East,8.0,117.0,1978,625000.0
2025.0833333333333,5 ROOM,East,11.0,117.0,1975,700000.0
2025.0833333333333,5 ROOM,East,5.0,128.0,1993,830000.0
2025.0833333333333,3 ROOM,Central,8.0,67.0,1984,558000.0
2025.0833333333333,3 ROOM,Central,8.0,68.0,1973,340000.0
2025.0833333333333,4 ROOM,Central,8.0,84.0,1986,680000.0
2025.0833333333333,4 ROOM,Central,11.0,107.0,1992,840888.0
2025.0833333333333,4 ROOM,Central,17.0,116.0,1992,950000.0
2025.0833333333333,4 ROOM,Central,2.0,105.0,1992,761000.0
2025.0833333333333,4 ROOM,Central,8.0,88.0,1974,495000.0
2025.0833333333333,5 ROOM,Central,5.0,121.0,1986,1035000.0
2025.0833333333333,5 ROOM,Central,23.0,121.0,1998,1068888.0
2025.0833333333333,5 ROOM,Central,2.0,120.0,1986,858888.0
2025.0833333333333,2 ROOM,West,2.0,47.0,2019,355000.0
2025.0833333333333,2 ROOM,West,2.0,48.0,2020,358000.0
2025.0833333333333,3 ROOM,West,2.0,67.0,1985,395000.0
2025.0833333333333,3 ROOM,West,2.0,64.0,1987,380000.0
2025.0833333333333,3 ROOM,West,2.0,73.0,1985,418000.0
2025.0833333333333,3 ROOM,West,5.0,82.0,1985,430000.0
2025.0833333333333,3 ROOM,West,2.0,73.0,1987,410000.0
2025.0833333333333,3 ROOM,West,5.0,73.0,1985,423888.0
2025.0833333333333,3 ROOM,West,2.0,73.0,1984,412000.0
2025.0833333333333,3 ROOM,West,2.0,67.0,2019,460000.0
2025.0833333333333,3 ROOM,West,2.0,67.0,2019,450000.0
2025.0833333333333,3 ROOM,West,5.0,74.0,1984,430000.0
2025.0833333333333,4 ROOM,West,2.0,88.0,1988,458888.0
2025.0833333333333,4 ROOM,West,5.0,99.0,1986,515000.0
2025.0833333333333,4 ROOM,West,8.0,104.0,1983,590000.0
2025.0833333333333,4 ROOM,West,11.0,104.0,1983,603888.0
2025.0833333333333,4 ROOM,West,5.0,92.0,1998,540000.0
2025.0833333333333,4 ROOM,West,2.0,84.0,1985,495000.0
2025.0833333333333,4 ROOM,West,5.0,103.0,1987,540000.0
2025.0833333333333,4 ROOM,West,26.0,90.0,2005,598000.0
2025.0833333333333,4 ROOM,West,5.0,92.0,2019,650000.0
2025.0833333333333,4 ROOM,West,2.0,92.0,2019,580000.0
2025.0833333333333,4 ROOM,West,2.0,93.0,2019,610000.0
2025.0833333333333,4 ROOM,West,8.0,92.0,2019,668000.0
2025.0833333333333,4 ROOM,West,8.0,92.0,2019,650000.0
2025.0833333333333,4 ROOM,West,5.0,93.0,2020,630000.0
2025.0833333333333,4 ROOM,West,2.0,93.0,2019,595000.0
2025.0833333333333,5 ROOM,West,14.0,113.0,2019,875000.0
2025.0833333333333,5 ROOM,West,32.0,115.0,2018,950000.0
2025.0833333333333,5 ROOM,West,2.0,130.0,1986,745000.0
2025.0833333333333,5 ROOM,West,11.0,118.0,2004,740888.0
2025.0833333333333,5 ROOM,West,11.0,118.0,2004,720000.0
2025.0833333333333,5 ROOM,West,14.0,115.0,2019,868888.0
2025.0833333333333,5 ROOM,West,11.0,114.0,2019,835000.0
2025.0833333333333,5 ROOM,West,5.0,112.0,2019,805000.0
2025.0833333333333,EXECUTIVE,West,2.0,148.0,1985,920000.0
2025.0833333333333,2 ROOM,Central,11.0,47.0,1967,300000.0
2025.0833333333333,2 ROOM,Central,5.0,43.0,1970,270000.0
2025.0833333333333,3 ROOM,Central,5.0,72.0,1983,432000.0
2025.0833333333333,3 ROOM,Central,11.0,65.0,1975,360000.0
2025.0833333333333,3 ROOM,Central,26.0,68.0,2019,780000.0
2025.0833333333333,3 ROOM,Central,5.0,56.0,1971,320000.0
2025.0833333333333,3 ROOM,Central,14.0,63.0,1975,390000.0
2025.0833333333333,3 ROOM,Central,17.0,60.0,2008,730000.0
2025.0833333333333,3 ROOM,Central,11.0,65.0,1975,378888.0
2025.0833333333333,3 ROOM,Central,5.0,67.0,1978,425000.0
2025.0833333333333,3 ROOM,Central,2.0,68.0,2018,660000.0
2025.0833333333333,3 ROOM,Central,17.0,68.0,2018,738000.0
2025.0833333333333,4 ROOM,Central,5.0,104.0,1984,660000.0
2025.0833333333333,4 ROOM,Central,5.0,90.0,2002,915000.0
2025.0833333333333,4 ROOM,Central,5.0,91.0,1985,770000.0
2025.0833333333333,4 ROOM,Central,11.0,100.0,2006,775000.0
2025.0833333333333,4 ROOM,Central,8.0,104.0,1984,690000.0
2025.0833333333333,4 ROOM,Central,23.0,90.0,2003,988000.0
2025.0833333333333,4 ROOM,Central,14.0,93.0,2013,990000.0
2025.0833333333333,5 ROOM,Central,29.0,115.0,2005,1333000.0
2025.0833333333333,5 ROOM,Central,8.0,117.0,1977,688000.0
2025.0833333333333,5 ROOM,Central,5.0,157.0,1985,1100000.0
2025.0833333333333,5 ROOM,Central,8.0,115.0,2001,1058000.0
2025.0833333333333,5 ROOM,Central,17.0,117.0,1978,858000.0
2025.0833333333333,5 ROOM,Central,17.0,121.0,1978,850000.0
2025.0833333333333,3 ROOM,West,5.0,73.0,1988,460000.0
2025.0833333333333,3 ROOM,West,11.0,67.0,2015,500000.0
2025.0833333333333,4 ROOM,West,8.0,103.0,1986,540000.0
2025.0833333333333,4 ROOM,West,11.0,83.0,1987,470000.0
2025.0833333333333,4 ROOM,West,8.0,100.0,1998,570000.0
2025.0833333333333,4 ROOM,West,23.0,91.0,2003,795000.0
2025.0833333333333,4 ROOM,West,2.0,84.0,1987,472000.0
2025.0833333333333,4 ROOM,West,5.0,93.0,2012,600888.0
2025.0833333333333,4 ROOM,West,8.0,93.0,2015,608000.0
2025.0833333333333,4 ROOM,West,5.0,92.0,2002,515000.0
2025.0833333333333,4 ROOM,West,8.0,85.0,2002,518000.0
2025.0833333333333,4 ROOM,West,2.0,95.0,2004,535000.0
2025.0833333333333,5 ROOM,West,2.0,122.0,1998,688888.0
2025.0833333333333,5 ROOM,West,14.0,121.0,1998,660000.0
2025.0833333333333,5 ROOM,West,8.0,121.0,1997,840000.0
2025.0833333333333,5 ROOM,West,8.0,112.0,2015,718000.0
2025.0833333333333,5 ROOM,West,14.0,110.0,2002,595000.0
2025.0833333333333,5 ROOM,West,11.0,110.0,2001,645000.0
2025.0833333333333,EXECUTIVE,West,5.0,142.0,1989,820000.0
2025.0833333333333,EXECUTIVE,West,2.0,144.0,1987,820000.0
2025.0833333333333,4 ROOM,Central,11.0,104.0,1988,960000.0
2025.0833333333333,4 ROOM,Central,2.0,104.0,1988,750000.0
2025.0833333333333,3 ROOM,Central,5.0,58.0,1974,400000.0
2025.0833333333333,3 ROOM,Central,20.0,65.0,1975,480000.0
2025.0833333333333,4 ROOM,Central,5.0,94.0,2011,1150000.0
2025.0833333333333,3 ROOM,West,5.0,74.0,1984,415888.0
2025.0833333333333,3 ROOM,West,11.0,73.0,1989,420000.0
2025.0833333333333,4 ROOM,West,8.0,92.0,2017,583000.0
2025.0833333333333,4 ROOM,West,8.0,104.0,1993,570000.0
2025.0833333333333,4 ROOM,West,8.0,104.0,1993,535000.0
2025.0833333333333,4 ROOM,West,8.0,104.0,1993,553888.0
2025.0833333333333,4 ROOM,West,2.0,104.0,2000,510000.0
2025.0833333333333,4 ROOM,West,17.0,93.0,2017,625000.0
2025.0833333333333,4 ROOM,West,11.0,90.0,2002,518000.0
2025.0833333333333,4 ROOM,West,8.0,102.0,1999,540000.0
2025.0833333333333,4 ROOM,West,14.0,103.0,1999,562000.0
2025.0833333333333,4 ROOM,West,14.0,85.0,2002,512000.0
2025.0833333333333,4 ROOM,West,8.0,106.0,1996,530000.0
2025.0833333333333,4 ROOM,West,2.0,103.0,1989,465000.0
2025.0833333333333,4 ROOM,West,2.0,106.0,1989,500000.0
2025.0833333333333,4 ROOM,West,8.0,92.0,1979,458000.0
2025.0833333333333,5 ROOM,West,11.0,125.0,1993,661099.0
2025.0833333333333,5 ROOM,West,11.0,113.0,2016,682000.0
2025.0833333333333,5 ROOM,West,8.0,113.0,2017,690000.0
2025.0833333333333,5 ROOM,West,8.0,113.0,2017,718888.0
2025.0833333333333,5 ROOM,West,8.0,110.0,2002,573000.0
2025.0833333333333,5 ROOM,West,14.0,124.0,1999,646000.0
2025.0833333333333,5 ROOM,West,11.0,110.0,2003,577000.0
2025.0833333333333,5 ROOM,West,5.0,122.0,1989,660000.0
2025.0833333333333,5 ROOM,West,17.0,110.0,2003,618000.0
2025.0833333333333,5 ROOM,West,5.0,123.0,1993,722000.0
2025.0833333333333,5 ROOM,West,2.0,113.0,2017,620000.0
2025.0833333333333,EXECUTIVE,West,8.0,141.0,1999,722000.0
2025.0833333333333,EXECUTIVE,West,5.0,145.0,1996,783000.0
2025.0833333333333,3 ROOM,West,11.0,67.0,1979,430000.0
2025.0833333333333,3 ROOM,West,8.0,74.0,1983,420000.0
2025.0833333333333,3 ROOM,West,8.0,67.0,1978,395000.0
2025.0833333333333,4 ROOM,West,11.0,94.0,2018,1100000.0
2025.0833333333333,4 ROOM,West,32.0,80.0,2014,995000.0
2025.0833333333333,4 ROOM,West,11.0,91.0,1978,505000.0
2025.0833333333333,4 ROOM,West,8.0,93.0,1980,546000.0
2025.0833333333333,5 ROOM,West,17.0,110.0,2002,1020000.0
2025.0833333333333,3 ROOM,Central,5.0,81.0,1980,542000.0
2025.0833333333333,3 ROOM,Central,5.0,60.3,1967,305000.0
2025.0833333333333,3 ROOM,Central,8.0,67.0,2016,593000.0
2025.0833333333333,3 ROOM,Central,8.0,56.0,1969,340000.0
2025.0833333333333,3 ROOM,Central,5.0,68.0,2020,698000.0
2025.0833333333333,3 ROOM,Central,2.0,65.0,1981,379000.0
2025.0833333333333,4 ROOM,Central,14.0,93.0,2020,1000000.0
2025.0833333333333,3 ROOM,North-East,5.0,67.0,2012,503000.0
2025.0833333333333,3 ROOM,North-East,5.0,68.0,2019,488000.0
2025.0833333333333,3 ROOM,North-East,11.0,67.0,1981,432000.0
2025.0833333333333,3 ROOM,North-East,5.0,67.0,1982,380000.0
2025.0833333333333,3 ROOM,North-East,2.0,71.0,1985,420000.0
2025.0833333333333,3 ROOM,North-East,5.0,67.0,1986,420000.0
2025.0833333333333,3 ROOM,North-East,5.0,74.0,1987,460000.0
2025.0833333333333,3 ROOM,North-East,2.0,74.0,1987,456000.0
2025.0833333333333,3 ROOM,North-East,2.0,74.0,1987,432000.0
2025.0833333333333,4 ROOM,North-East,5.0,91.0,1981,548888.0
2025.0833333333333,4 ROOM,North-East,5.0,113.0,1989,700000.0
2025.0833333333333,4 ROOM,North-East,5.0,84.0,1987,560000.0
2025.0833333333333,4 ROOM,North-East,5.0,91.0,1985,525000.0
2025.0833333333333,4 ROOM,North-East,8.0,104.0,1983,625000.0
2025.0833333333333,4 ROOM,North-East,5.0,93.0,1985,560000.0
2025.0833333333333,4 ROOM,North-East,14.0,105.0,1992,700000.0
2025.0833333333333,4 ROOM,North-East,5.0,101.0,1999,575000.0
2025.0833333333333,4 ROOM,North-East,8.0,104.0,1992,630000.0
2025.0833333333333,5 ROOM,North-East,8.0,121.0,1987,808888.0
2025.0833333333333,5 ROOM,North-East,17.0,113.0,2015,858000.0
2025.0833333333333,EXECUTIVE,North-East,2.0,148.0,1991,918000.0
2025.0833333333333,3 ROOM,West,5.0,68.0,1982,425000.0
2025.0833333333333,3 ROOM,West,8.0,67.0,1983,405000.0
2025.0833333333333,3 ROOM,West,2.0,67.0,1981,400000.0
2025.0833333333333,3 ROOM,West,5.0,68.0,1983,380000.0
2025.0833333333333,3 ROOM,West,29.0,72.0,2013,535000.0
2025.0833333333333,4 ROOM,West,5.0,97.0,1978,470000.0
2025.0833333333333,4 ROOM,West,2.0,97.0,1978,445000.0
2025.0833333333333,4 ROOM,West,5.0,92.0,2013,595000.0
2025.0833333333333,4 ROOM,West,8.0,101.0,1998,638000.0
2025.0833333333333,5 ROOM,West,5.0,120.0,1981,598000.0
2025.0833333333333,5 ROOM,West,14.0,121.0,1985,648000.0
2025.0833333333333,5 ROOM,West,8.0,121.0,1983,665000.0
2025.0833333333333,EXECUTIVE,West,11.0,143.0,1998,1025000.0
2025.0833333333333,2 ROOM,West,5.0,47.0,2019,343000.0
2025.0833333333333,3 ROOM,West,5.0,68.0,2017,535000.0
2025.0833333333333,3 ROOM,West,2.0,67.0,1984,370000.0
2025.0833333333333,4 ROOM,West,5.0,93.0,2015,600000.0
2025.0833333333333,4 ROOM,West,17.0,93.0,2019,696000.0
2025.0833333333333,4 ROOM,West,5.0,104.0,1990,523888.0
2025.0833333333333,4 ROOM,West,8.0,99.0,1998,660000.0
2025.0833333333333,4 ROOM,West,8.0,99.0,1998,655001.0
2025.0833333333333,4 ROOM,West,11.0,93.0,2018,620000.0
2025.0833333333333,4 ROOM,West,5.0,104.0,1985,495000.0
2025.0833333333333,4 ROOM,West,5.0,104.0,1991,515000.0
2025.0833333333333,4 ROOM,West,8.0,104.0,1990,525000.0
2025.0833333333333,4 ROOM,West,8.0,104.0,1990,536888.0
2025.0833333333333,4 ROOM,West,2.0,103.0,1988,495000.0
2025.0833333333333,4 ROOM,West,5.0,91.0,2014,690000.0
2025.0833333333333,4 ROOM,West,2.0,90.0,2001,480000.0
2025.0833333333333,5 ROOM,West,11.0,114.0,2018,790888.0
2025.0833333333333,5 ROOM,West,17.0,112.0,2003,638000.0
2025.0833333333333,5 ROOM,West,8.0,121.0,1985,606000.0
2025.0833333333333,5 ROOM,West,14.0,110.0,2002,638000.0
2025.0833333333333,5 ROOM,West,5.0,110.0,2001,645000.0
2025.0833333333333,5 ROOM,West,11.0,111.0,2000,758000.0
2025.0833333333333,5 ROOM,West,11.0,110.0,2000,690000.0
2025.0833333333333,5 ROOM,West,2.0,110.0,2008,540000.0
2025.0833333333333,5 ROOM,West,8.0,110.0,2001,590000.0
2025.0833333333333,5 ROOM,West,8.0,121.0,1990,580000.0
2025.0833333333333,5 ROOM,West,5.0,132.0,1989,580000.0
2025.0833333333333,5 ROOM,West,14.0,121.0,1997,665000.0
2025.0833333333333,5 ROOM,West,20.0,108.0,2014,900000.0
2025.0833333333333,5 ROOM,West,8.0,126.0,1996,678888.0
2025.0833333333333,EXECUTIVE,West,11.0,148.0,1985,725000.0
2025.0833333333333,EXECUTIVE,West,14.0,130.0,2000,812000.0
2025.0833333333333,EXECUTIVE,West,11.0,146.0,1993,790000.0
2025.0833333333333,3 ROOM,Central,8.0,56.0,1970,320000.0
2025.0833333333333,3 ROOM,Central,5.0,60.0,1969,410000.0
2025.0833333333333,3 ROOM,Central,8.0,65.0,1981,488000.0
2025.0833333333333,3 ROOM,Central,2.0,63.0,1986,460800.0
2025.0833333333333,3 ROOM,Central,14.0,70.0,2017,782000.0
2025.0833333333333,3 ROOM,Central,5.0,66.0,1980,371000.0
2025.0833333333333,4 ROOM,Central,8.0,88.0,1974,567000.0
2025.0833333333333,4 ROOM,Central,11.0,88.0,1974,625000.0
2025.0833333333333,4 ROOM,Central,8.0,92.0,1982,613888.0
2025.0833333333333,4 ROOM,Central,11.0,91.0,1976,683000.0
2025.0833333333333,4 ROOM,Central,5.0,93.0,1981,600000.0
2025.0833333333333,4 ROOM,Central,2.0,104.0,1987,720500.0
2025.0833333333333,4 ROOM,Central,26.0,93.0,2017,1122000.0
2025.0833333333333,4 ROOM,Central,5.0,84.0,1987,644000.0
2025.0833333333333,4 ROOM,Central,2.0,95.0,2017,908888.0
2025.0833333333333,4 ROOM,Central,14.0,88.0,2017,1050000.0
2025.0833333333333,4 ROOM,Central,5.0,91.0,1974,490000.0
2025.0833333333333,4 ROOM,Central,11.0,91.0,1974,530000.0
2025.0833333333333,5 ROOM,Central,20.0,107.0,2011,1290000.0
2025.0833333333333,3 ROOM,East,2.0,76.0,1975,510000.0
2025.0833333333333,3 ROOM,East,8.0,76.0,1975,535000.0
2025.0833333333333,3 ROOM,East,8.0,65.0,1975,460000.0
2025.0833333333333,5 ROOM,East,20.0,120.0,1977,945000.0
2025.0833333333333,5 ROOM,East,2.0,120.0,1977,833333.0
2025.0833333333333,5 ROOM,East,26.0,122.0,1975,1065000.0
2025.0833333333333,2 ROOM,East,8.0,47.0,2015,420000.0
2025.0833333333333,4 ROOM,East,11.0,104.0,1995,618000.0
2025.0833333333333,4 ROOM,East,5.0,112.0,1992,648000.0
2025.0833333333333,4 ROOM,East,5.0,93.0,2015,705000.0
